year	venue	title	pdf_path	known_arxiv_id	planned_directory	skip_reason
2021	arXiv	RoFormer Enhanced Transformer with Rotary Position Embedding	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2021arXiv-RoFormer Enhanced Transformer with Rotary Position Embedding.pdf	2104.09864	2021arXiv-RoFormer: Enhanced Transformer with Rotary Position Embedding	
2022	ICLR	LoRA Low-Rank Adaptation of Large Language Models	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2022ICLR-LoRA Low-Rank Adaptation of Large Language Models.pdf	2106.09685	2022ICLR-LoRA: Low-Rank Adaptation of Large Language Models	
2022	ICML	GLaM Efficient Scaling of Language Models with Mixture-of-Experts	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2022ICML-GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf	2112.06905	2022ICML-GLaM: Efficient Scaling of Language Models with Mixture-of-Experts	
2022	JMLR	Switch Transformers Scaling to Trillion Parameter Models with Simple and Efficient Sparsity	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2022JMLR-Switch Transformers Scaling to Trillion Parameter Models with Simple and Efficient Sparsity.pdf	2101.03961	2022JMLR-Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity	
2022	NeurIPS	FlashAttention Fast and Memory-Efficient Exact Attention with IO-Awareness	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2022NeurIPS-FlashAttention Fast and Memory-Efficient Exact Attention with IO-Awareness.pdf	2205.14135	2022NeurIPS-FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness	
2022	NeurIPS	Training Language Models to Follow Instructions with Human Feedback	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2022NeurIPS-Training Language Models to Follow Instructions with Human Feedback.pdf	2203.02155	2022NeurIPS-Training Language Models to Follow Instructions with Human Feedback	
2022	OSDI	Alpa Automating Inter- and Intra-Operator Parallelism for Distributed Deep Learning	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2022OSDI-Alpa Automating Inter- and Intra-Operator Parallelism for Distributed Deep Learning.pdf	2201.12023	2022OSDI-Alpa: Automating Inter- and Intra-Operator Parallelism for Distributed Deep Learning	
2022	OSDI	Orca: A Distributed Serving System for Transformer-Based Generative Models	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2022OSDI-Orca: A Distributed Serving System for Transformer-Based Generative Models.pdf		2022OSDI-Orca: A Distributed Serving System for Transformer-Based Generative Models	
2022	arXiv	Constitutional AI Harmlessness from AI Feedback	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2022arXiv-Constitutional AI Harmlessness from AI Feedback.pdf	2212.08073	2022arXiv-Constitutional AI: Harmlessness from AI Feedback	
2022	arXiv	DeepSpeed-MoE Advancing Mixture-of-Experts Inference and Training to Power Next-Generation AI Scale	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2022arXiv-DeepSpeed-MoE Advancing Mixture-of-Experts Inference and Training to Power Next-Generation AI Scale.pdf		2022arXiv-DeepSpeed-MoE Advancing Mixture-of-Experts Inference and Training to Power Next-Generation AI Scale	
2022	arXiv	FP8 Formats for Deep Learning	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2022arXiv-FP8 Formats for Deep Learning.pdf	2209.05433	2022arXiv-FP8 Formats for Deep Learning	
2022	arXiv	Formal Algorithms for Transformers	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2022arXiv-Formal Algorithms for Transformers.pdf	2207.09238	2022arXiv-Formal Algorithms for Transformers	
2022	arXiv	PaLM Scaling Language Modeling with Pathways	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2022arXiv-PaLM Scaling Language Modeling with Pathways.pdf	2204.02311	2022arXiv-PaLM: Scaling Language Modeling with Pathways	
2022	arXiv	Scaling Instruction-Finetuned Language Models	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2022arXiv-Scaling Instruction-Finetuned Language Models.pdf	2210.11416	2022arXiv-Scaling Instruction-Finetuned Language Models	
2022	arXiv	Training Compute-Optimal Large Language Models	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2022arXiv-Training Compute-Optimal Large Language Models.pdf	2203.15556	2022arXiv-Training Compute-Optimal Large Language Models	
2023	ACL	Self-Instruct Aligning Language Models with Self-Generated Instructions	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2023ACL-Self-Instruct Aligning Language Models with Self-Generated Instructions.pdf	2212.10560	2023ACL-Self-Instruct: Aligning Language Models with Self-Generated Instructions	
2023	ASPLOS	TensorIR An Abstraction for Automatic Tensorized Program Optimization	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2023ASPLOS-TensorIR An Abstraction for Automatic Tensorized Program Optimization.pdf	2207.04296	2023ASPLOS-TensorIR: An Abstraction for Automatic Tensorized Program Optimization	
2023	arXiv	Efficient Guided Generation for Large Language Models	/home/undefined/Desktop/ai/papers/2023arXiv-Efficient Guided Generation for Large Language Models.pdf		2023arXiv-Efficient Guided Generation for Large Language Models	""
2023	CVPR	Sigmoid Loss for Language Image Pre-Training	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2023CVPR-Sigmoid Loss for Language Image Pre-Training.pdf		2023CVPR-Sigmoid Loss for Language Image Pre-Training	
2023	EMNLP	GQA Training Generalized Multi-Query Transformer Models from Multi-Head Checkpoints	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2023EMNLP-GQA Training Generalized Multi-Query Transformer Models from Multi-Head Checkpoints.pdf	2305.13245	2023EMNLP-GQA: Training Generalized Multi-Query Transformer Models from Multi-Head Checkpoints	
2023	ICLR	GPTQ Accurate Post-Training Quantization for Generative Pre-Trained Transformers	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2023ICLR-GPTQ Accurate Post-Training Quantization for Generative Pre-Trained Transformers.pdf	2210.17323	2023ICLR-GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers	
2023	ICML	Fast Inference from Transformers via Speculative Decoding	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2023ICML-Fast Inference from Transformers via Speculative Decoding.pdf	2211.17192	2023ICML-Fast Inference from Transformers via Speculative Decoding	
2023	ICML	FlexGen: High-Throughput Generative Inference of Large Language Models with a Single GPU	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2023ICML-FlexGen: High-Throughput Generative Inference of Large Language Models with a Single GPU.pdf		2023ICML-FlexGen: High-Throughput Generative Inference of Large Language Models with a Single GPU	
2023	ICML	SmoothQuant Accurate and Efficient Post-Training Quantization for Large Language Models	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2023ICML-SmoothQuant Accurate and Efficient Post-Training Quantization for Large Language Models.pdf		2023ICML-SmoothQuant Accurate and Efficient Post-Training Quantization for Large Language Models	
2023	NSDI	TACCL Guiding Collective Algorithm Synthesis using Communication Sketches	/home/undefined/Desktop/ai/papers/07_communication_hardware/2023NSDI-TACCL Guiding Collective Algorithm Synthesis using Communication Sketches.pdf	2111.04867	2023NSDI-TACCL: Guiding Collective Algorithm Synthesis using Communication Sketches	
2023	NeurIPS	Direct Preference Optimization Your Language Model is Secretly a Reward Model	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2023NeurIPS-Direct Preference Optimization Your Language Model is Secretly a Reward Model.pdf	2305.18290	2023NeurIPS-Direct Preference Optimization: Your Language Model is Secretly a Reward Model	
2023	NeurIPS	QLoRA Efficient Finetuning of Quantized LLMs	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2023NeurIPS-QLoRA Efficient Finetuning of Quantized LLMs.pdf	2305.14314	2023NeurIPS-QLoRA: Efficient Finetuning of Quantized LLMs	
2023	NeurIPS	SpecTr: Fast Speculative Decoding via Optimal Transport	/home/undefined/Desktop/ai/papers/Speculative Decode/2023NeurIPS-SpecTr: Fast Speculative Decoding via Optimal Transport.pdf		2023NeurIPS-SpecTr: Fast Speculative Decoding via Optimal Transport	
2023	NeurIPS	Speculative Decoding with Big Little Decoder	/home/undefined/Desktop/ai/papers/Speculative Decode/2023NeurIPS-Speculative Decoding with Big Little Decoder.pdf		2023NeurIPS-Speculative Decoding with Big Little Decoder	
2023	NeurIPS	Tree of thoughts: Deliberate problem solving with large language models	/home/undefined/Desktop/ai/papers/2023NeurIPS-Tree of thoughts: Deliberate problem solving with large language models.pdf		2023NeurIPS-Tree of thoughts: Deliberate problem solving with large language models	
2023	SOSP	Efficient Memory Management for Large Language Model Serving with PagedAttention	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2023SOSP-Efficient Memory Management for Large Language Model Serving with PagedAttention.pdf	2309.06180	2023SOSP-Efficient Memory Management for Large Language Model Serving with PagedAttention	
2023	arXiv	A Survey of Large Language Models	/home/undefined/Desktop/ai/papers/09_surveys/2023arXiv-A Survey of Large Language Models.pdf	2303.18223	2023arXiv-A Survey of Large Language Models	
2023	arXiv	FP8-LM Training FP8 Large Language Models	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2023arXiv-FP8-LM Training FP8 Large Language Models.pdf	2310.18313	2023arXiv-FP8-LM: Training FP8 Large Language Models	
2023	arXiv	LLaMA Open and Efficient Foundation Language Models	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2023arXiv-LLaMA Open and Efficient Foundation Language Models.pdf	2302.13971	2023arXiv-LLaMA: Open and Efficient Foundation Language Models	
2023	arXiv	Llama 2 Open Foundation and Fine-Tuned Chat Models	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2023arXiv-Llama 2 Open Foundation and Fine-Tuned Chat Models.pdf	2307.09288	2023arXiv-Llama 2: Open Foundation and Fine-Tuned Chat Models	
2023	arXiv	Sarathi Efficient LLM Inference by Piggybacking Decodes with Chunked Prefills	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2023arXiv-Sarathi Efficient LLM Inference by Piggybacking Decodes with Chunked Prefills.pdf	2308.16369	2023arXiv-SARATHI: Efficient LLM Inference by Piggybacking Decodes with Chunked Prefills	
2023	arXiv	Zephyr Direct Distillation of LM Alignment	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2023arXiv-Zephyr Direct Distillation of LM Alignment.pdf	2310.16944	2023arXiv-Zephyr: Direct Distillation of LM Alignment	
2024	ACL	Branch-solve-merge improves large language model evaluation and generation	/home/undefined/Desktop/ai/papers/Technique/2024ACL-Branch-solve-merge improves large language model evaluation and generation..pdf		2024ACL-Branch-solve-merge improves large language model evaluation and generation	
2024	ACL	Chunkattention: Efficient self-attention with prefix-aware kv cache and two-phase partition	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2024ACL-Chunkattention: Efficient self-attention with prefix-aware kv cache and two-phase partition.pdf		2024ACL-Chunkattention: Efficient self-attention with prefix-aware kv cache and two-phase partition	
2024	ACL	DeepSeekMoE Towards Ultimate Expert Specialization in Mixture-of-Experts Language Models	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2024ACL-DeepSeekMoE Towards Ultimate Expert Specialization in Mixture-of-Experts Language Models.pdf	2401.06066	2024ACL-DeepSeekMoE: Towards Ultimate Expert Specialization in Mixture-of-Experts Language Models	
2024	ACL	LlamaFactory Unified Efficient Fine-Tuning of 100+ Language Models	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2024ACL-LlamaFactory Unified Efficient Fine-Tuning of 100+ Language Models.pdf	2403.13372	2024ACL-LlamaFactory: Unified Efficient Fine-Tuning of 100+ Language Models	
2024	ASPLOS	SpecInfer Accelerating Large Language Model Serving with Tree-Based Speculative Inference and Verification	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2024ASPLOS-SpecInfer Accelerating Large Language Model Serving with Tree-Based Speculative Inference and Verification.pdf		2024ASPLOS-SpecInfer Accelerating Large Language Model Serving with Tree-Based Speculative Inference and Verification	
2024	ASPLOS	SpecInfer: Accelerating Generative Large Language Model Serving with Tree-based Speculative Inference and Verification	/home/undefined/Desktop/ai/papers/Speculative Decode/2024ASPLOS-SpecInfer: Accelerating Generative Large Language Model Serving with Tree-based Speculative Inference and Verification.pdf		2024ASPLOS-SpecInfer: Accelerating Generative Large Language Model Serving with Tree-based Speculative Inference and Verification	
2024	arXiv	Hydragen: High-throughput llm inference with shared prefixes	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2024arXiv-Hydragen: High-throughput llm inference with shared prefixes.pdf		2024arXiv-Hydragen: High-throughput llm inference with shared prefixes	""
2024	arXiv	OPT-Tree: Speculative Decoding with Adaptive Draft Tree Structure	/home/undefined/Desktop/ai/papers/Speculative Decode/2024arXiv-OPT-Tree: Speculative Decoding with Adaptive Draft Tree Structure.pdf		2024arXiv-OPT-Tree: Speculative Decoding with Adaptive Draft Tree Structure	""
2024	ICLR	FlashAttention-2 Faster Attention with Better Parallelism and Work Partitioning	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2024ICLR-FlashAttention-2 Faster Attention with Better Parallelism and Work Partitioning.pdf	2307.08691	2024ICLR-FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning	
2024	ICLR	Skeleton-of-Thought: Prompting LLMs for Efficient Parallel Generation	/home/undefined/Desktop/ai/papers/2024ICLR-Skeleton-of-Thought: Prompting LLMs for Efficient Parallel Generation.pdf		2024ICLR-Skeleton-of-Thought: Prompting LLMs for Efficient Parallel Generation	
2024	ICML	EAGLE: Speculative Sampling Requires Rethinking Feature Uncertainty	/home/undefined/Desktop/ai/papers/Speculative Decode/2024ICML-EAGLE: Speculative Sampling Requires Rethinking Feature Uncertainty.pdf		2024ICML-EAGLE: Speculative Sampling Requires Rethinking Feature Uncertainty	
2024	ICML	KIVI A Tuning-Free Asymmetric 2bit Quantization for KV Cache	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2024ICML-KIVI A Tuning-Free Asymmetric 2bit Quantization for KV Cache.pdf	2402.02750	2024ICML-KIVI: A Tuning-Free Asymmetric 2bit Quantization for KV Cache	
2024	ICML	Medusa: Simple LLM Inference Acceleration Framework with Multiple Decoding Heads	/home/undefined/Desktop/ai/papers/Speculative Decode/2024ICML-Medusa: Simple LLM Inference Acceleration Framework with Multiple Decoding Heads.pdf	2401.10774	2024ICML-Medusa: Simple LLM Inference Acceleration Framework with Multiple Decoding Heads	
2024	ISCA	Splitwise Efficient Generative LLM Inference Using Phase Splitting	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2024ISCA-Splitwise Efficient Generative LLM Inference Using Phase Splitting.pdf	2311.18677	2024ISCA-Splitwise: Efficient generative LLM inference using phase splitting	
2024	MLSys	AWQ Activation-Aware Weight Quantization for LLM Compression and Acceleration	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2024MLSys-AWQ Activation-Aware Weight Quantization for LLM Compression and Acceleration.pdf	2306.00978	2024MLSys-AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration	
2024	MLSys	Prompt cache: Modular attention reuse for low-latency inference	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2024MLSys-Prompt cache: Modular attention reuse for low-latency inference..pdf		2024MLSys-Prompt cache: Modular attention reuse for low-latency inference	
2024	NSDI	MegaScale Scaling Large Language Model Training to More Than 10000 GPUs	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2024NSDI-MegaScale Scaling Large Language Model Training to More Than 10000 GPUs.pdf	2402.15627	2024NSDI-MegaScale: Scaling Large Language Model Training to More Than 10,000 GPUs	
2024	NeurIPS	SGLang: Efficient Execution of Structured Language Model Programs	/home/undefined/Desktop/ai/papers/2024NeurIPS-SGLang: Efficient Execution of Structured Language Model Programs.pdf	2312.07104	2024NeurIPS-SGLang: Efficient Execution of Structured Language Model Programs	
2024	NeurIPS	Sequoia: Scalable, Robust, and Hardware-aware Speculative Decoding	/home/undefined/Desktop/ai/papers/Speculative Decode/2024NeurIPS-Sequoia: Scalable, Robust, and Hardware-aware Speculative Decoding.pdf		2024NeurIPS-Sequoia: Scalable, Robust, and Hardware-aware Speculative Decoding	
2024	OSDI	DistServe Disaggregating Prefill and Decoding for Goodput-Optimized LLM Serving	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2024OSDI-DistServe Disaggregating Prefill and Decoding for Goodput-Optimized LLM Serving.pdf	2401.09670	2024OSDI-DistServe: Disaggregating Prefill and Decoding for Goodput-optimized LLM Serving	
2024	OSDI	Fairness in serving large language models	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2024OSDI-Fairness in serving large language models.pdf		2024OSDI-Fairness in serving large language models	
2024	PLDI	Prompting Is Programming: A Query Language for Large Language Models	/home/undefined/Desktop/ai/papers/2024PLDI-Prompting Is Programming: A Query Language for Large Language Models.pdf		2024PLDI-Prompting Is Programming: A Query Language for Large Language Models	
2024	Report	AMD MI300X GPU Performance Analysis	/home/undefined/Desktop/ai/papers/07_communication_hardware/2024Report-AMD MI300X GPU Performance Analysis.pdf	2510.27583	2024Report-AMD MI300X GPU Performance Analysis	
2024	arXiv	A Survey on Efficient Inference for Large Language Models	/home/undefined/Desktop/ai/papers/09_surveys/2024arXiv-A Survey on Efficient Inference for Large Language Models.pdf	2404.14294	2024arXiv-A Survey on Efficient Inference for Large Language Models	
2024	arXiv	DeepSeek-V2 A Strong Economical and Efficient Mixture-of-Experts Language Model	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2024arXiv-DeepSeek-V2 A Strong Economical and Efficient Mixture-of-Experts Language Model.pdf	2405.04434	2024arXiv-DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model	
2024	arXiv	DeepSeek-V3 Technical Report	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2024arXiv-DeepSeek-V3 Technical Report.pdf	2412.19437	2024arXiv-DeepSeek-V3 Technical Report	
2024	arXiv	Dissecting the NVIDIA Hopper Architecture through Microbenchmarking and Multiple Level Analysis	/home/undefined/Desktop/ai/papers/07_communication_hardware/2024arXiv-Dissecting the NVIDIA Hopper Architecture through Microbenchmarking and Multiple Level Analysis.pdf	2501.12084	2024arXiv-Dissecting the NVIDIA Hopper Architecture through Microbenchmarking and Multiple Level Analysis	
2024	arXiv	FlashAttention-3 Fast and Accurate Attention with Asynchrony and Low-Precision	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2024arXiv-FlashAttention-3 Fast and Accurate Attention with Asynchrony and Low-Precision.pdf	2407.08608	2024arXiv-FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision	
2024	arXiv	HybridFlow A Flexible and Efficient RLHF Framework	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2024arXiv-HybridFlow A Flexible and Efficient RLHF Framework.pdf	2409.19256	2024arXiv-HybridFlow: A Flexible and Efficient RLHF Framework	
2024	arXiv	LLM Inference Serving Survey of Recent Advances and Opportunities	/home/undefined/Desktop/ai/papers/09_surveys/2024arXiv-LLM Inference Serving Survey of Recent Advances and Opportunities.pdf	2407.12391	2024arXiv-LLM Inference Serving: Survey of Recent Advances and Opportunities	
2024	arXiv	Mixtral of Experts	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2024arXiv-Mixtral of Experts.pdf	2401.04088	2024arXiv-Mixtral of Experts	
2024	arXiv	Model Compression and Efficient Inference for Large Language Models A Survey	/home/undefined/Desktop/ai/papers/09_surveys/2024arXiv-Model Compression and Efficient Inference for Large Language Models A Survey.pdf	2402.09748	2024arXiv-Model Compression and Efficient Inference for Large Language Models: A Survey	
2024	arXiv	Mooncake A KVCache-Centric Disaggregated Architecture for LLM Serving	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2024arXiv-Mooncake A KVCache-Centric Disaggregated Architecture for LLM Serving.pdf	2407.00079	2024arXiv-Mooncake: A KVCache-centric Disaggregated Architecture for LLM Serving	
